50 9251 9251
3 1078 689.0 53.0
3 1079 687.0 54.0
3 1080 713.0 54.0
3 1081 750.0 55.0
3 1082 753.0 56.0
3 1083 773.0 53.0
3 1084 766.0 54.0
3 1085 786.0 53.0
3 1086 783.0 55.0
3 1087 789.0 55.0
3 1088 1031.0 53.0
3 1089 106.0 64.0
3 1090 104.0 65.0
3 1091 513.0 63.0
3 1092 513.0 65.0
3 1093 684.0 63.0
3 1094 710.0 64.0
3 1095 704.0 66.0
3 1096 751.0 63.0
3 1097 748.0 65.0
3 1098 750.0 65.0
3 1099 765.0 66.0
3 1100 784.0 66.0
3 1101 789.0 66.0
3 1102 796.0 66.0
3 1103 973.0 66.0
3 1104 1011.0 66.0
3 1105 1030.0 63.0
3 1106 114.0 74.0
3 1107 212.0 76.0
3 1108 234.0 73.0
3 1109 230.0 76.0
3 1110 245.0 75.0
3 1111 685.0 76.0
3 1112 714.0 73.0
3 1113 753.0 74.0
3 1114 784.0 74.0
3 1115 805.0 73.0
3 1116 207.0 83.0
3 1117 233.0 83.0
3 1118 235.0 83.0
3 1119 689.0 83.0
3 1120 685.0 86.0
3 1121 691.0 86.0
3 1122 714.0 85.0
3 1123 754.0 83.0
3 1124 751.0 84.0
3 1125 828.0 86.0
3 1126 831.0 86.0
3 1127 472.0 96.0
3 1128 549.0 96.0
3 1129 691.0 93.0
3 1130 695.0 93.0
3 1131 715.0 93.0
3 1132 716.0 95.0
3 1133 733.0 93.0
3 1134 736.0 93.0
3 1135 754.0 94.0
3 1136 994.0 96.0
3 1137 555.0 103.0
3 1138 550.0 104.0
3 1139 686.0 103.0
3 1140 689.0 103.0
3 1141 694.0 106.0
3 1142 724.0 106.0
3 1143 831.0 106.0
3 1144 855.0 106.0
3 1145 550.0 115.0
3 1146 683.0 113.0
